Unit,,F,f_contrast,Score,f_gj,Score
群体,,11,0,-4.7223,11,4.7223
打砸抢,,11,0,-4.7223,11,4.7223
减税,,11,0,-4.7223,11,4.7223
警员,,11,0,-4.7223,11,4.7223
退休金,,11,0,-4.7223,11,4.7223
法国巴黎,,11,0,-4.7223,11,4.7223
参加,,69,26,-4.6899,43,4.6899
韩冰,,14,1,-4.619,13,4.619
计划,,101,43,-4.5347,58,4.5347
者,,31,8,-4.5026,23,4.5026
参与,,64,24,-4.4474,40,4.4474
蔓延,,19,3,-4.4431,16,4.4431
行业,,19,3,-4.4431,16,4.4431
装甲车,,16,2,-4.3012,14,4.3012
福利,,16,2,-4.3012,14,4.3012
呼声,,16,2,-4.3012,14,4.3012
勒庞,,10,0,-4.293,10,4.293
冲击,,10,0,-4.293,10,4.293
游行示威,,10,0,-4.293,10,4.293
巴黎市政府,,10,0,-4.293,10,4.293
警力,,10,0,-4.293,10,4.293
生态,,10,0,-4.293,10,4.293
多地,,10,0,-4.293,10,4.293
法意,,10,0,-4.293,10,4.293
百分点,,10,0,-4.293,10,4.293
十几名,,10,0,-4.293,10,4.293
高铁,,10,0,-4.293,10,4.293
似乎,,28,7,-4.2703,21,4.2703
一系列,,43,14,-4.2512,29,4.2512
此外,,45,15,-4.2333,30,4.2333
窗户,,13,1,-4.2205,12,4.2205
浪潮,,13,1,-4.2205,12,4.2205
低收入,,13,1,-4.2205,12,4.2205
当局,,13,1,-4.2205,12,4.2205
推翻,,13,1,-4.2205,12,4.2205
讨论,,51,18,-4.2037,33,4.2037
11,,181,88,-4.149,93,4.149
工会,,32,9,-4.1411,23,4.1411
法律,,34,10,-4.0948,24,4.0948
执政党,,18,3,-4.0855,15,4.0855
人群,,18,3,-4.0855,15,4.0855
封锁,,18,3,-4.0855,15,4.0855
损失,,18,3,-4.0855,15,4.0855
政治,,117,53,-4.0507,64,4.0507
宣布,,155,74,-4.0172,81,4.0172
明年,,42,14,-3.9877,28,3.9877
发起,,42,14,-3.9877,28,3.9877
有效,,20,4,-3.9299,16,3.9299
萨尔维尼,,20,4,-3.9299,16,3.9299
象征,,15,2,-3.9274,13,3.9274
显示,,92,40,-3.8873,52,3.8873
继续,,145,69,-3.8641,76,3.8641
涂鸦,,9,0,-3.8637,9,3.8637
百货,,9,0,-3.8637,9,3.8637
1968,,9,0,-3.8637,9,3.8637
雕像,,9,0,-3.8637,9,3.8637
示威运动,,9,0,-3.8637,9,3.8637
国民议会,,9,0,-3.8637,9,3.8637
埃菲尔铁塔,,9,0,-3.8637,9,3.8637
重塑,,9,0,-3.8637,9,3.8637
政客,,9,0,-3.8637,9,3.8637
比例,,9,0,-3.8637,9,3.8637
催泪弹,,9,0,-3.8637,9,3.8637
黄衫,,9,0,-3.8637,9,3.8637
标签,,9,0,-3.8637,9,3.8637
公开信,,9,0,-3.8637,9,3.8637
时机,,9,0,-3.8637,9,3.8637
引渡,,9,0,-3.8637,9,3.8637
